SMILES,He,H2,O2,N2,CO2,CH4
*CC(*)F,0.113943352,-0.568636236,-1.397940009,-2.045757491,-0.939412874,-2.0
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,2.865898395,3.23006536,2.917677075,2.672900166,3.566832012,3.059565958
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,-0.149347903,-0.202552834,-1.420216403,-2.207608311,-0.835478142,-2.251266843
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,2.957356644,3.336996853,2.738538912,2.159031668,3.462686475,2.277365688
*c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,2.290245586,2.549815034,1.926342447,1.418331345,2.553890117,1.607983602
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(C(=O)c%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,1.595942118,1.678196122,0.636487896,-0.080921908,1.232742063,-0.207608311
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,2.273841963,2.247091443,1.116275588,0.049218023,1.354876423,-0.387216143
*Oc1c(C)cc(C2(c3cc(C)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(C)c3)CC(C)CC(C)(C)C2)cc1C,2.007446554,2.231351153,1.540329475,1.003447065,2.163593108,1.167684523
*Cc1ccc(C*)c(Cl)c1,-0.004364805,-0.180456064,-1.522878745,-2.251811973,-1.337242168,-2.506574547
*CC(*)OC1CCCCC1,1.295271059,1.417387078,0.567026366,-0.004364805,1.133538908,0.093786374
*c1ccc2c(c1)C(=O)N(c1cc(C(=O)Oc3ccc(C(c4ccc(OC(=O)c5ccc(C)c(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)(C(F)(F)F)C(F)(F)F)cc3)ccc1C)C2=O,1.530906717,1.735052047,0.944482672,0.377117857,1.672097858,0.547048324
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,1.548451587,1.714470604,0.913813852,0.330072071,1.530124309,0.453060219
*CCc1cc(Cl)c(*)c(Cl)c1,0.365085933,0.382408461,-0.742405911,-1.567704585,-0.106829947,-1.584612864
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,3.301196003,3.752252904,3.165149632,2.449949145,3.735274666,2.54281719
*/C=C/CC*,1.99844909,2.365488893,1.857272999,1.502273814,2.578563826,1.868628677
*CC(CS(=O)(=O)C(C)C)O*,0.295107178,0.303062217,-0.796967113,-1.508664398,-0.199643191,-1.498312762
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)c(C)c6)CCCCC5)cc4C)cc3C2=O)c1,0.495908525,0.529187378,-0.522878745,-1.214075969,0.077487056,-1.185678564
*Oc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1O*,2.591359079,2.906223774,2.402140283,1.842422971,3.20870803,2.13203854
*CC(CCl)O*,0.740362689,0.949390007,0.021189299,-0.356547324,0.721086548,-0.16181288
*CCc1ccc(*)c(Cl)c1,0.121281764,0.079180377,-1.325879851,-2.16650047,-0.896315546,-2.394220114
*CC(*)(C)C(=O)OCC,0.938707454,1.031234081,0.06069784,-0.657577319,0.698970004,-0.606159179
*c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,1.682953453,1.739000589,0.568201724,-0.214670165,1.204119983,-0.468521083
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)(C)C)c3)cc1C(C)(C)C)C2=O,1.815812052,2.015548903,1.278753601,0.722306984,1.899114221,0.869322487
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.204119983,3.591064607,3.322219295,3.113943352,3.857332496,3.51851394
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.72427587,0.812406292,-0.150135534,-0.791058354,0.471879566,-0.705269349
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,2.99555577,3.390302464,2.890040419,2.311728272,3.303216407,2.485477532
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.255184267,0.223560202,-0.918430801,-1.608921711,-0.349601196,-1.632542942
*C=CC1CCC(*)C1,1.098602377,1.322219295,0.447158031,0.176091259,1.187520721,0.397940009
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3.693453469,4.12344165,3.771665807,3.248847441,4.441522544,3.454010596
*c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c1)C2=O,1.272278055,1.210623482,-0.13667714,-1.096910013,0.361727836,-1.508638306
*CC(COc1ccc(O*)cc1)OC(C)=O,-0.389135761,-0.467473173,-1.730940079,-2.512492584,-1.143981546,-2.563633015
*CC(*)C,1.03716635,1.129121989,0.209830774,-0.41587539,0.755947491,-0.345261455
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,1.681241237,1.806179974,1.230448921,0.880813592,1.763427994,1.079181246
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,0.51851394,0.469236368,-0.651585639,-1.387348248,-0.167491087,-1.460282523
*CC(*)OC(=O)c1ccccc1,1.025690925,1.123857194,0.197705815,-0.440230074,0.800717078,-0.366511889
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.322219295,3.698970004,3.431363764,3.230448921,3.963787827,3.62324929
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.343479597,0.357535064,-0.730940079,-1.437698963,-0.132883378,-1.423000158
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2.968482949,3.31386722,2.995635195,2.591064607,3.72427587,3.004321374
*c1ccc2c(c1)C(=O)N(c1cc(C(=O)Nc3ccc(C(c4ccc(NC(=O)c5ccc(C)c(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)(C(F)(F)F)C(F)(F)F)cc3)ccc1C)C2=O,1.513361294,1.714218516,0.919078092,0.349438182,1.643452676,0.51649865
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,2.938490902,3.333352568,2.837448933,2.348963223,3.448483451,2.630869274
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,1.614504413,1.826061369,1.079181246,0.591064607,1.77815125,0.785120785
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.413973102,1.563476048,0.730864626,0.133588963,1.346352974,0.245027803
*CC(*)(C)C(=O)OC,0.651102087,0.5662677,-0.46408845,-1.471161462,-0.111544402,-1.55745952
*c1cccc2c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cccc12,2.278753601,2.544068044,1.886490725,1.278753601,2.707570176,1.431363764
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,-0.077064526,-0.11604546,-1.304971347,-2.054664108,-0.713285341,-2.077759083
*OC1C(CO)OC(*)C(O)C1O,-2.236885255,-2.282857843,-3.740130462,-4.560272927,-2.864077852,-4.455570795
*CC(*)(Cl)Cl,-0.692274948,-0.758703342,-2.064609119,-2.819022625,-1.354027397,-2.827067756
*Oc1ccc(C(CCCCC)(CCCCC)c2ccc(OC(*)=O)cc2)cc1,1.270213252,1.401142585,0.534026106,-0.078121377,1.146121615,0.019861836
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.72427587,3.0,2.672097858,2.322219295,3.361727836,2.73239376
*/C(=C(\*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,2.897627091,3.176091259,2.919078092,2.591064607,3.579783597,3.041392685
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.698622291,3.016309381,2.657775267,2.300486448,3.278753601,2.719666347
*CCOC(=O)c1ccc(O*)cc1,-1.384351707,-1.739322769,-3.497750458,-5.040457788,-3.169430577,-5.529980675
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,1.534297683,1.674560002,0.845459719,0.246268431,1.440349645,0.33889608
*C(C)=C(*)[Si](C)(C)CCCCCC,1.715527432,1.913160492,1.176091259,0.672097858,1.807020702,0.839154723
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(F)(F)F)c3)cc1C(F)(F)F)C2=O,1.403532571,1.551275305,0.716003344,0.117466598,1.330118466,0.227431053
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,3.351639921,3.797646427,3.178976208,2.534764066,3.708327157,2.66228137
*NC(CC(C)C)C(*)=O,1.56535284,1.733197265,0.935003151,0.283301229,1.583198774,0.404259732
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)O*,-0.492037695,-0.594537712,-1.886320788,-2.683190543,-1.332080315,-2.756915947
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,-0.395834342,-0.475016536,-1.740083458,-2.52231983,-1.1532264,-2.574062254
*CC(*)c1ccccc1,1.125635739,1.24133249,0.33057954,-0.283440347,0.965339553,-0.198196082
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)cc9)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,2.22688841,2.212985304,0.996511672,0.008600172,1.377852419,-0.455931956
*c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(C(c3ccccc3)(c3cc(C(C)C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)C(F)(F)F)cc1C(C)C)C2=O,2.273210477,2.530631563,1.903089987,1.39333975,2.530379597,1.581461083
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.924279286,3.278753601,3.0,2.73239376,3.612783857,3.176091259
*CC1CC(*)OC(C)O1,0.397940009,0.349384461,-0.785434193,-1.524516901,-0.283996656,-1.588970738
*c1ccc(-c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2C(F)(F)F)c(C(F)(F)F)c1,2.311753861,2.477121255,1.806179974,1.204119983,2.62324929,1.301029996
*CC(*)(C)C#N,-1.296952218,-1.544148941,-3.043639446,-3.942297585,-2.620875854,-4.140386968
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,1.242102293,1.377596534,0.544068044,0.041392685,1.146128036,0.177320348
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,3.151327343,3.511354498,3.062485445,2.498809129,3.777662681,2.632203422
*C(C)=C(*)[Si](C)(C)C,3.620488502,4.028191104,3.733584471,3.444648009,4.361736349,3.766272207
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,-0.816953925,-0.949245094,-2.314900215,-3.140129213,-1.73442257,-3.229717133
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,1.938135094,2.155551646,1.462397998,0.959041392,2.079181246,1.130944698
*CC(*)CC(C)C,1.956961005,2.22534954,1.456988386,0.938314949,2.105711498,1.095550388
*c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(C(c4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c(C)c5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1C)C2=O,1.406988137,1.602885575,0.785329835,0.208638413,1.531478917,0.376309238
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.431363764,0.505867885,-0.513751373,-1.183095003,0.139879086,-1.100521496
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3.531478917,3.929418926,3.73239376,3.531478917,4.255272505,4.0
*C=CCCC*,2.380211242,2.618048097,2.491361694,2.0,3.301029996,2.633468456
*Oc1cc2c(cc1O*)C(C)(C)CC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)O2,2.585863227,2.86619688,2.307711977,1.760569042,3.165206887,1.93106569
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,1.852479994,1.871345289,0.876794976,0.123851641,1.477121255,0.024744148
*CC(*)OCC1CCCCC1,1.00977668,1.10320589,0.190331698,-0.397940009,0.770115295,-0.314108974
*c1cc(C(c2ccc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c2)(C(F)(F)F)C(F)(F)F)ccc1C,2.204119983,2.342422681,1.591064607,0.954242509,2.322219295,0.954242509
*CCCCCNC(=O)CCCCC(=O)N*,-0.236254444,-0.255640416,-1.468521083,-2.216570398,-0.769551079,-2.206241538
*Cc1ccc(C*)cc1,0.397940009,0.505149978,-0.619788758,-1.327902142,0.113943352,-1.283543686
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,1.509977997,1.593538591,0.625312451,-0.017728767,1.164055292,-0.075720714
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,0.351054788,0.358632359,-0.744727495,-1.494850022,-0.155074139,-1.499943908
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.534902351,1.756682529,0.973127854,0.413883214,1.748188027,0.604775887
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.786488335,0.909920924,0.006811941,-0.531882275,0.744594997,-0.365625072
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,-0.278533463,-0.347175547,-1.585642987,-2.357733147,-1.008859488,-2.404004501
*OC1OC(OCC)C(*)C(OCC)C1OCC,1.669719195,1.828058172,1.181769039,0.625502168,1.967841355,0.972676779
*/C(=C(\*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,1.924983692,2.126273092,1.414973348,0.875061263,2.0,1.020270116
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.775217401,-0.915157986,-2.275161082,-3.101684916,-1.730020323,-3.20292053
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.423964347,1.447158031,0.633468456,-0.055517328,1.505149978,-0.017728767
*/C(=C(\*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,2.278753601,2.531478917,1.913813852,1.361727836,2.72427587,1.662757832
